standard curve,Dopa Stock (V.s),5-HT Stock (V.s),Curve,Dopa Stock (pmol),5-Ht Stock (pmol)
day 1 D2&D3,1.28,2.02,0,32.6413,28.3744
day 1 D2&D3,0.63,0.96,0,16.3207,14.1872
day 1 D2&D3,0.12,0.19,0,1.63207,1.41872
day 1 D2&D3,0.06,0.1,0,0.16321,0.14187
day 1 D2&D3,0.01,0.02,0,0.0816,0.07094
day 2 D2&D3,0.01,0.02,1,0.0816,0.07094
day 2 D2&D3,0.06,0.09,1,0.16321,0.14187
day 2 D2&D3,0.12,0.19,1,1.63207,1.41872
day 2 D2&D3,0.62,0.98,1,16.3207,14.1872
day 2 D2&D3,1.21,1.93,1,32.6413,28.3744
day 1 D5,0.01,0.02,2,0.0816,0.07094
day 1 D5,0.07,0.1,2,0.16321,0.14187
day 1 D5,0.13,0.2,2,1.63207,1.41872
day 1 D5,0.65,1.02,2,16.3207,14.1872
day 2 D5,0.01,0.02,3,0.0816,0.07094
day 2 D5,0.05,0.1,3,0.16321,0.14187
day 2 D5,0.12,0.21,3,1.63207,1.41872
day 2 D5,0.57,0.99,3,16.3207,14.1872
day 2 D4,0.01,0.02,4,0.0816,0.07094
day 2 D4,0.06,0.11,4,0.16321,0.14187
day 2 D4,0.12,0.22,4,1.63207,1.41872
day 2 D4,0.59,1.08,4,16.3207,14.1872