Dopa (V.s),5-HT (V.s),Dopa Stock (pmol),5-Ht Stock (pmol),Curve
4.53,8.33,32.64133699,28.37442896,1
1.81,3.89,16.32066849,14.18721448,1
0.24,0.44,1.632066849,1.418721448,1
0.04,0.07,0.1632066849,0.1418721448,1
0.01,0.02,0.08160334247,0.07093607241,1
4.72,7.26,32.64133699,28.37442896,2
2.66,4.19,16.32066849,14.18721448,2
0.27,0.46,1.632066849,1.418721448,2
0.04,0.06,0.1632066849,0.1418721448,2
0.01,0.03,0.08160334247,0.07093607241,2
4.74,7.38,32.64133699,28.37442896,3
2.42,3.34,16.32066849,14.18721448,3
0.26,0.41,1.632066849,1.418721448,3
0.03,0.05,0.1632066849,0.1418721448,3
0.01,0.02,0.08160334247,0.07093607241,3